# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl zum 1. Deutschen Bundestag (14. August 1949)
# Endgültige Ergebnisse der Stimmen nach Wahlkreisen
# 
Wahlkreis;;Land;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;FDP;CSU;KPD;Parteilose;BP;DP;Zentrum;WAV;DKP/DRP;RSF;SSW;EVD;RWVP;;;;;;;;;;;;;;;;;
Nr.;Name;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
163;Stuttgart I (West);BW;164251;111699;3474;108225;31694;20820;29470;0;10808;14117;0;0;0;0;0;1316;0;0;0
164;Stuttgart II (Ost);BW;170618;120012;4034;115978;38338;21215;27771;0;14372;13170;0;0;0;0;0;1112;0;0;0
165;Ludwigsburg;BW;115428;87499;2858;84641;22576;13874;22411;0;6179;19601;0;0;0;0;0;0;0;0;0
166;Heilbronn;BW;126848;92160;3937;88223;23110;20258;24874;0;7083;12898;0;0;0;0;0;0;0;0;0
167;Böblingen;BW;139752;95002;3414;91588;21722;27273;14486;0;6492;21615;0;0;0;0;0;0;0;0;0
168;Eßlingen;BW;131741;99268;2705;96563;26059;25312;11114;0;7009;27069;0;0;0;0;0;0;0;0;0
169;Göppingen;BW;139345;104272;2161;102111;21492;27503;13053;0;5029;35034;0;0;0;0;0;0;0;0;0
170;Ulm;BW;149509;105131;3021;102110;27399;40927;12898;0;4230;16656;0;0;0;0;0;0;0;0;0
171;Aalen;BW;135175;104557;3471;101086;15106;53498;8400;0;3655;20427;0;0;0;0;0;0;0;0;0
172;Backnang;BW;82881;56291;1189;55102;8973;16783;16166;0;2330;10850;0;0;0;0;0;0;0;0;0
173;Crailsheim;BW;112605;78318;1686;76632;8241;27219;24200;0;1430;15542;0;0;0;0;0;0;0;0;0
174;Waiblingen;BW;88614;60645;2358;58287;14687;16072;23491;0;4037;0;0;0;0;0;0;0;0;0;0
175;Karlsruhe-Stadt;BW;134557;97860;6227;91633;33863;25064;15125;0;9026;8555;0;0;0;0;0;0;0;0;0
